# Este es un archivo de ejemplo.
20, 20

# Jugador
12,12,1,0,0,0,0

# Paredes
9,1,4,0,0,0,0
10,1,4,0,0,0,0
11,1,4,0,0,0,0
12,1,4,0,0,0,0
12,2,4,0,0,0,0
12,3,4,0,0,0,0
12,4,4,0,0,0,0
12,5,4,0,0,0,0
13,5,4,0,0,0,0
14,5,4,0,0,0,0
14,6,4,0,0,0,0
14,7,4,0,0,0,0
14,8,4,0,0,0,0
14,9,4,0,0,0,0
14,10,4,0,0,0,0
14,11,4,0,0,0,0
13,11,4,0,0,0,0
12,11,4,0,0,0,0
13,12,4,0,0,0,0
13,13,4,0,0,0,0
12,13,4,0,0,0,0
12,14,4,0,0,0,0
13,14,4,0,0,0,0
13,15,4,0,0,0,0
13,16,4,0,0,0,0
13,17,4,0,0,0,0
13,18,4,0,0,0,0
13,19,4,0,0,0,0
12,19,4,0,0,0,0
11,19,4,0,0,0,0
10,19,4,0,0,0,0
9,19,4,0,0,0,0
9,18,4,0,0,0,0
9,17,4,0,0,0,0
9,16,4,0,0,0,0
9,15,4,0,0,0,0
9,14,4,0,0,0,0
10,14,4,0,0,0,0
10,13,4,0,0,0,0
10,12,4,0,0,0,0
10,11,4,0,0,0,0
10,10,4,0,0,0,0
9,10,4,0,0,0,0
8,10,4,0,0,0,0
7,10,4,0,0,0,0
7,9,4,0,0,0,0
6,9,4,0,0,0,0
5,9,4,0,0,0,0
4,9,4,0,0,0,0
4,8,4,0,0,0,0
4,7,4,0,0,0,0
4,6,4,0,0,0,0
4,5,4,0,0,0,0
5,5,4,0,0,0,0
6,5,4,0,0,0,0
7,5,4,0,0,0,0
7,4,4,0,0,0,0
7,3,4,0,0,0,0
8,3,4,0,0,0,0
9,3,4,0,0,0,0
9,2,4,0,0,0,0
9,5,4,0,0,0,0
10,5,4,0,0,0,0
12,7,4,0,0,0,0
12,8,4,0,0,0,0
12,9,4,0,0,0,0
9,7,4,0,0,0,0
9,8,4,0,0,0,0
10,7,4,0,0,0,0
10,8,4,0,0,0,0

# Cajas
6, 6, 2, 0, 0, 0, 255
8, 6, 2, 0, 0, 0, 255
11, 6, 2, 0, 0, 0, 255
11, 3, 2, 0, 0, 0, 255
7, 8, 2, 0, 0, 0, 255
8, 8, 2, 0, 0, 0, 255


# Celdas destino 
10,17,3,0,0,0,255
10,18,3,0,0,0,255 
11,17,3,0,0,0,255 
11,18,3,0,0,0,255 
12,17,3,0,0,0,255 
12,18,3,0,0,0,255 
 
 
